Food Name,Kalori (kkal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g)
Apple,52,0.3,0.2,14,2.4
Ayam Goreng,260,25.0,15.0,5,0.3
Bakso,140,10.0,8.0,6,0.5
Banana,89,1.1,0.3,23,2.6
Burger,295,17.0,14.0,28,1.2
Capcay,90,4.0,2.0,13,3.0
Chocolate Chip Cookie,488,5.0,24.0,66,2.2
Donat,326,4.0,20.0,38,1.0
Ikan Goreng,200,22.0,12.0,0,0.0
Kentang Goreng,312,3.4,15.0,41,3.8
Kiwi,41,0.8,0.4,10,2.1
Mie Goreng,321,7.0,14.0,44,3.0
Nasi Goreng,267,6.1,13.0,33,1.5
Nasi Putih,129,2.7,0.3,28,0.4
Nugget,296,14.0,18.0,15,1.0
Pempek,196,8.0,10.0,20,0.5
Pineapples,50,0.5,0.1,13,1.4
Pizza,266,11.0,10.0,33,2.3
Rendang Sapi,193,21.0,12.0,3,0.5
Sate,203,18.0,13.0,3,0.3
Spaghetti,158,5.8,5.3,23,2.0
Steak,271,25.0,19.0,0,0.0
Strawberry,33,0.7,0.3,8,2.0
Tahu Goreng,262,12.0,20.0,4,0.7
Telur Goreng,196,13.0,15.0,1,0.0
Telur Rebus,78,6.3,5.3,0.6,0.0
Tempe Goreng,193,11.0,11.0,10,1.4
Terong Balado,115,2.3,7.0,11,3.0
Tumis Kangkung,68,2.5,4.0,6,2.8
